cmeID,observedTime,CME_Angular_Width,CME_Measurement_Position_Angle,CME_Linear_Speed,CME_2nd-order_Speed_At_Final_Height,CME_2nd-order_Speed_At_20_Rs,CME_Acceleration,CME_Mass,IMF_Magnitude_Avg,IMF_Bx,IMF_By_GSM,IMF_Bz_GSM,SW_Plasma_Speed,SW_Plasma_Temperature,SW_Proton_Density,R_Sunspot_Number,maxKP,OG_avgPredictedMaxKpLowerRange,OG_avgPredictedMaxKpUpperRange,OG_medianPredictedMaxKpLowerRange,OG_medianPredictedMaxKpUpperRange,OG_meanofavgPredictedMaxKpRange,ar_fixed,ar_source,ar_flag,ar_group,is_real,uid,storm_level
2021-11-02T02:48:00-CME-001,2021-11-02T02:48:00+00:00,360.0,28,1473.0,1302,1397,-31.1,6100000000000000.0,5.783333333333334,-2.083333333333333,2.316666666666667,-1.0333333333333334,566.3333333333334,171403.5,4.133333333333333,43.0,7.0,4.66667,6.77778,5.0,7.0,5.722225,12891.0,direct,,12891,1,2021-11-02T02:48:00-CME-001,G3_strong
2014-02-04T01:25:00-CME-001,2014-02-04T01:25:00+00:00,181.0,208,528.0,457,501,-4.4,6900000000000000.0,6.8166666666666655,-0.9833333333333334,1.7333333333333334,0.6333333333333334,349.3333333333333,53309.66666666666,9.7,144.0,5.0,2.5,4.66667,2.5,5.0,3.583335,11967.0,direct,,11967,1,2014-02-04T01:25:00-CME-001,G1_minor
2023-09-14T07:24:00-CME-001,2023-09-14T07:24:00+00:00,360.0,304,804.0,857,841,6.0,9800000000000000.0,5.95,-2.1,-3.3000000000000003,3.3666666666666667,459.3333333333333,81690.16666666667,6.650000000000001,134.0,4.67,3.33333,5.16667,3.0,5.5,4.25,13429.0,linked_flr,,13429,1,2023-09-14T07:24:00-CME-001,G0_quiet
2015-04-06T20:36:00-CME-001,2015-04-06T20:36:00+00:00,205.0,75,427.0,435,450,1.1,3300000000000000.0,2.766666666666666,-2.15,0.4166666666666667,0.2666666666666665,447.1666666666667,62170.0,2.85,52.0,6.0,3.5,5.66667,3.5,6.0,4.583335,12320.0,direct,,12320,1,2015-04-06T20:36:00-CME-001,G2_moderate
2023-10-14T04:48:00-CME-001,2023-10-14T04:48:00+00:00,149.0,328,317.0,411,421,5.2,2100000000000000.0,2.9666666666666663,0.1833333333333332,-0.4499999999999999,0.6,513.6666666666666,93943.16666666669,2.5500000000000003,111.0,3.67,2.0,4.0,2.0,4.0,3.0,,none,missing,-103,1,2023-10-14T04:48:00-CME-001,G0_quiet
2021-11-29T10:38:00-CME-001,2021-11-29T10:38:00+00:00,118.0,189,350.0,427,580,10.6,310000000000000.0,4.616666666666666,1.55,-3.4500000000000006,-1.6833333333333336,359.5,56800.333333333336,6.083333333333335,43.0,3.0,3.0,4.8,3.0,5.0,3.9,,none,missing,-57,1,2021-11-29T10:38:00-CME-001,G0_quiet
2023-10-14T14:00:00-CME-001,2023-10-14T14:00:00+00:00,106.0,303,212.0,201,161,-1.0,380000000000000.0,3.214285714285714,-0.5714285714285714,-0.7285714285714285,1.342857142857143,498.4285714285714,81581.28571428571,3.3285714285714283,111.0,3.67,2.0,4.0,2.0,4.0,3.0,13466.0,direct,,13466,1,2023-10-14T14:00:00-CME-001,G0_quiet
2015-05-06T17:00:00-CME-001,2015-05-06T17:00:00+00:00,100.0,273,479.0,608,693,14.8,1100000000000000.0,14.985714285714286,-2.3857142857142857,10.542857142857144,9.014285714285716,434.1428571428572,18701.28571428572,12.714285714285714,124.0,4.0,3.0,5.0,3.0,5.0,4.0,12335.0,direct,,12335,1,2015-05-06T17:00:00-CME-001,G0_quiet
2024-09-10T00:23:00-CME-001,2024-09-10T00:23:00+00:00,360.0,359,643.0,646,645,0.3,1.4e+16,8.316666666666666,4.983333333333333,-3.6666666666666665,3.1333333333333333,415.3333333333333,170669.83333333334,3.766666666666666,141.0,7.0,4.42857,6.71429,5.0,7.0,5.571429999999999,13814.0,direct,,13814,1,2024-09-10T00:23:00-CME-001,G3_strong
2024-10-09T02:12:00-CME-001,2024-10-09T02:12:00+00:00,360.0,306,1435.0,1163,1303,-52.1,5e+16,6.766666666666667,-1.8166666666666669,2.2500000000000004,-3.533333333333333,454.0,185295.5,5.416666666666667,141.0,8.67,6.5,8.33333,6.0,8.0,7.416665,13848.0,direct,,13848,1,2024-10-09T02:12:00-CME-001,G4+_severe_extreme
2022-07-21T01:48:00-CME-001,2022-07-21T01:48:00+00:00,360.0,359,875.0,818,808,-9.5,3700000000000000.0,8.083333333333334,6.133333333333333,-4.0,2.066666666666667,368.8333333333333,60330.16666666666,11.983333333333334,110.0,5.0,5.57143,7.0,5.0,7.0,6.285715,13060.0,direct,,13060,1,2022-07-21T01:48:00-CME-001,G1_minor
2022-02-06T14:09:00-CME-001,2022-02-06T14:09:00+00:00,360.0,175,334.0,348,356,1.0,650000000000000.0,4.433333333333334,2.6666666666666665,-1.1833333333333331,-1.116666666666667,538.5,148838.83333333334,1.45,78.0,5.0,3.33333,5.5,3.0,5.5,4.416665,12939.0,direct,,12939,1,2022-02-06T14:09:00-CME-001,G1_minor
